strategies_used_to_control_tuta_Absoluta_Aug_Sept_2020,other_strategies_used_to_control_Aug_Sept_2020,specify_the_pesticide_Tuta_absoluta,perception_on_the_effectiveness_of_strategy_in_controlling_Tuta_Absoluta_Aug_Sept_2020,PARENT_KEY,KEY
Chemicals,,,Medium,uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:5314ad27-7f11-4c87-ab6b-baf35d397e26/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:5314ad27-7f11-4c87-ab6b-baf35d397e26/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
other,Mulching,,Medium,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
Chemicals,,,Medium,uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Field_hygiene_,,,Medium,uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
other,Mulching,,Medium,uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[3]
Chemicals,,,Low,uuid:a773bc95-53fc-4f21-8bbc-e14eff96e268/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:a773bc95-53fc-4f21-8bbc-e14eff96e268/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Field_hygiene_,,,Medium,uuid:a773bc95-53fc-4f21-8bbc-e14eff96e268/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:a773bc95-53fc-4f21-8bbc-e14eff96e268/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
Chemicals,,,High,uuid:c02a1732-25c3-409b-a2b8-fd92dd5cabaf/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:c02a1732-25c3-409b-a2b8-fd92dd5cabaf/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:1bfdb3e2-a6f2-4daf-95a6-1246c02b46c9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:1bfdb3e2-a6f2-4daf-95a6-1246c02b46c9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:c719d895-cab8-46f5-b221-7974f040a92f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:c719d895-cab8-46f5-b221-7974f040a92f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
other,Mulching,,Medium,uuid:c719d895-cab8-46f5-b221-7974f040a92f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:c719d895-cab8-46f5-b221-7974f040a92f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
Chemicals,,,Medium,uuid:e699e0c1-d33a-46c1-b4f6-9cba00fa8359/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:e699e0c1-d33a-46c1-b4f6-9cba00fa8359/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Field_hygiene_,,,Medium,uuid:e699e0c1-d33a-46c1-b4f6-9cba00fa8359/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:e699e0c1-d33a-46c1-b4f6-9cba00fa8359/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
other,Mulching,,Medium,uuid:e699e0c1-d33a-46c1-b4f6-9cba00fa8359/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:e699e0c1-d33a-46c1-b4f6-9cba00fa8359/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[3]
Chemicals,,,Low,uuid:b4d52370-d1f0-464e-a3e6-37ac3186d773/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:b4d52370-d1f0-464e-a3e6-37ac3186d773/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:d5a2921d-f23c-4589-ac93-325beefa9f23/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:d5a2921d-f23c-4589-ac93-325beefa9f23/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:84c6c6fa-8c01-4304-b791-a52cc87ef860/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:84c6c6fa-8c01-4304-b791-a52cc87ef860/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Low,uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:70e9b71c-5419-4c1b-80af-5996633daaf1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:70e9b71c-5419-4c1b-80af-5996633daaf1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:0a89bfd8-f993-4e90-ad09-7f98553d504c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:0a89bfd8-f993-4e90-ad09-7f98553d504c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:38c6d19f-7251-44ba-956e-b2c8f26b6631/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:38c6d19f-7251-44ba-956e-b2c8f26b6631/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:6f5d5f3c-02f6-4401-8c83-fc146b370346/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:6f5d5f3c-02f6-4401-8c83-fc146b370346/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:58225dc1-7aaf-4473-b2c6-9d6974a5d13f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:58225dc1-7aaf-4473-b2c6-9d6974a5d13f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:5ae5de58-3272-4966-950a-79d4527fd7d4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:5ae5de58-3272-4966-950a-79d4527fd7d4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:06d89973-abf7-47fe-9a69-29e068f2b15c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:06d89973-abf7-47fe-9a69-29e068f2b15c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:7b2d4946-6b0a-484e-bd9a-400ac1b853a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:7b2d4946-6b0a-484e-bd9a-400ac1b853a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:8f7c3c4e-c50e-45e3-b5e4-0e36369ab784/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:8f7c3c4e-c50e-45e3-b5e4-0e36369ab784/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:6c58a45c-cd63-4bbc-a61a-04e7056a31a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:6c58a45c-cd63-4bbc-a61a-04e7056a31a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Field_hygiene_,,,Medium,uuid:6c58a45c-cd63-4bbc-a61a-04e7056a31a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:6c58a45c-cd63-4bbc-a61a-04e7056a31a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
Chemicals,,,Medium,uuid:8714a2e5-9f27-4f34-acbb-e940af910a2e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:8714a2e5-9f27-4f34-acbb-e940af910a2e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Training_on_Pest_and_disease_ma,,,Low,uuid:67c52bae-54d7-48a0-9dd9-60834ed48252/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:67c52bae-54d7-48a0-9dd9-60834ed48252/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:8ab6100b-ab81-4016-9a01-e69d6a41ec8e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:8ab6100b-ab81-4016-9a01-e69d6a41ec8e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:090b90ee-6284-44d6-a991-e953ffca4e25/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:090b90ee-6284-44d6-a991-e953ffca4e25/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:1c912811-732d-40f9-8c3b-945efe269ef5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:1c912811-732d-40f9-8c3b-945efe269ef5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:ed16eab9-16f2-4df0-8052-54481ac657ed/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:ed16eab9-16f2-4df0-8052-54481ac657ed/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
other,Use urine and other herbs,,Low,uuid:070eb28e-6b24-406f-93f0-59693e9ff69c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:070eb28e-6b24-406f-93f0-59693e9ff69c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:fba9859a-2d82-4e50-a132-c51423e92138/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:fba9859a-2d82-4e50-a132-c51423e92138/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Training_on_Pest_and_disease_ma,,,Low,uuid:fba9859a-2d82-4e50-a132-c51423e92138/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:fba9859a-2d82-4e50-a132-c51423e92138/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
other,Sprayed with ash,,High,uuid:a462c631-cc91-4c58-90c5-ff0d1b4d3aac/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:a462c631-cc91-4c58-90c5-ff0d1b4d3aac/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Low,uuid:0338b47b-e685-4047-b210-cb2ff000db4c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:0338b47b-e685-4047-b210-cb2ff000db4c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:a94c4186-553f-42da-b7d5-a66cce3b0458/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:a94c4186-553f-42da-b7d5-a66cce3b0458/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:c5042384-df41-497d-b113-6061d7c9dce1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:c5042384-df41-497d-b113-6061d7c9dce1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Training_on_Pest_and_disease_ma,,,Low,uuid:b02b0755-fc25-4a93-8ab5-0680976567a1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:b02b0755-fc25-4a93-8ab5-0680976567a1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Field_hygiene_,,,Low,uuid:b02b0755-fc25-4a93-8ab5-0680976567a1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:b02b0755-fc25-4a93-8ab5-0680976567a1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
Chemicals,,,Medium,uuid:e1b876cd-fbb8-4c2f-aafa-ff24ba6340d4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:e1b876cd-fbb8-4c2f-aafa-ff24ba6340d4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:ea229d4f-9ac3-4cf5-8b27-bcb72333a97c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:ea229d4f-9ac3-4cf5-8b27-bcb72333a97c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
other,Urine ,,Medium,uuid:fc2c8191-ea53-4fcb-8b2a-7417de3dd844/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:fc2c8191-ea53-4fcb-8b2a-7417de3dd844/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
