strategies_used_to_control_tuta_Absoluta_Aug_Sept_2020,other_strategies_used_to_control_Aug_Sept_2020,specify_the_pesticide_Tuta_absoluta,perception_on_the_effectiveness_of_strategy_in_controlling_Tuta_Absoluta_Aug_Sept_2020,PARENT_KEY,KEY
Chemicals,,,High,uuid:a51b1120-ec78-4e07-9f86-71a8420c5feb/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:a51b1120-ec78-4e07-9f86-71a8420c5feb/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:b3156722-3178-4331-b4c4-022c2dc807d6/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:b3156722-3178-4331-b4c4-022c2dc807d6/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:d4a71b1e-635b-40bf-8cc5-b3a2c66d6fbc/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:d4a71b1e-635b-40bf-8cc5-b3a2c66d6fbc/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:9a89cabe-041f-41dd-ba73-778efdb76397/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:9a89cabe-041f-41dd-ba73-778efdb76397/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Training_on_Pest_and_disease_ma,,,High,uuid:80937023-cef9-4f21-957d-0a27e1953cf9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:80937023-cef9-4f21-957d-0a27e1953cf9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:80937023-cef9-4f21-957d-0a27e1953cf9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:80937023-cef9-4f21-957d-0a27e1953cf9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
Training_on_Pest_and_disease_ma,,,Medium,uuid:ac4a955d-e12e-4f2c-b772-4f7fe8a94b19/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:ac4a955d-e12e-4f2c-b772-4f7fe8a94b19/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:ac4a955d-e12e-4f2c-b772-4f7fe8a94b19/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:ac4a955d-e12e-4f2c-b772-4f7fe8a94b19/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
Chemicals,,,Medium,uuid:36d3e4c8-db41-4b43-8608-05bc37cd4605/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:36d3e4c8-db41-4b43-8608-05bc37cd4605/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:bf3bb5a3-5ba9-4285-ab55-e9eeed9bfdb5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:bf3bb5a3-5ba9-4285-ab55-e9eeed9bfdb5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:78bf4c92-660c-488f-98ab-97af73e54de4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:78bf4c92-660c-488f-98ab-97af73e54de4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:abbc04a2-1f49-4dd9-9259-eb39f8ea954c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:abbc04a2-1f49-4dd9-9259-eb39f8ea954c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Training_on_Pest_and_disease_ma,,,Medium,uuid:abbc04a2-1f49-4dd9-9259-eb39f8ea954c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:abbc04a2-1f49-4dd9-9259-eb39f8ea954c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
Chemicals,,,High,uuid:79dbad5f-9e43-4506-9f2c-d084b304937d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:79dbad5f-9e43-4506-9f2c-d084b304937d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:c6a93dc4-8d7c-4b06-b147-d9c9df99a040/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:c6a93dc4-8d7c-4b06-b147-d9c9df99a040/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:fb497324-4399-4045-93b0-902c2733c5ea/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:fb497324-4399-4045-93b0-902c2733c5ea/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:1caa0fe8-838d-4ba4-b216-e5ee1e993dc9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:1caa0fe8-838d-4ba4-b216-e5ee1e993dc9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Low,uuid:dbaddb91-4a28-4b66-8994-0e37783ac8e0/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:dbaddb91-4a28-4b66-8994-0e37783ac8e0/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:4a52825a-8f2f-4de7-ae5a-eb8229387b67/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:4a52825a-8f2f-4de7-ae5a-eb8229387b67/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Field_hygiene_,,,High,uuid:4a52825a-8f2f-4de7-ae5a-eb8229387b67/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:4a52825a-8f2f-4de7-ae5a-eb8229387b67/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
Chemicals,,,High,uuid:f3910e58-f8dc-44cf-8b28-aa5c58de4245/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:f3910e58-f8dc-44cf-8b28-aa5c58de4245/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:97b5f5e6-a1e3-4ee4-a838-025627007ea2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:97b5f5e6-a1e3-4ee4-a838-025627007ea2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Training_on_Pest_and_disease_ma,,,High,uuid:d63f054e-8b3a-4fcd-9ab5-4a4552f4be52/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:d63f054e-8b3a-4fcd-9ab5-4a4552f4be52/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Improved_seed,,,Low,uuid:d63f054e-8b3a-4fcd-9ab5-4a4552f4be52/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:d63f054e-8b3a-4fcd-9ab5-4a4552f4be52/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
Chemicals,,,High,uuid:5ba0aafd-498f-48fd-99e2-57a06701247e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:5ba0aafd-498f-48fd-99e2-57a06701247e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Training_on_Pest_and_disease_ma,,,High,uuid:6882eee5-40c9-4540-860e-bdb484b2ba9d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:6882eee5-40c9-4540-860e-bdb484b2ba9d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
other,Ash and pepper,,High,uuid:6882eee5-40c9-4540-860e-bdb484b2ba9d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:6882eee5-40c9-4540-860e-bdb484b2ba9d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
other,Ash and pepper,,High,uuid:6882eee5-40c9-4540-860e-bdb484b2ba9d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[4],uuid:6882eee5-40c9-4540-860e-bdb484b2ba9d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[4]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
other,Ash and pepper,,High,uuid:6882eee5-40c9-4540-860e-bdb484b2ba9d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[6],uuid:6882eee5-40c9-4540-860e-bdb484b2ba9d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[6]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Training_on_Pest_and_disease_ma,,,High,uuid:6882eee5-40c9-4540-860e-bdb484b2ba9d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[6],uuid:6882eee5-40c9-4540-860e-bdb484b2ba9d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[6]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
other,Pepper and urine,,Medium,uuid:8727aacb-70dc-49a0-a467-480a60c07678/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:8727aacb-70dc-49a0-a467-480a60c07678/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:72f7b252-ff9a-461e-bf2d-c07cd669adf0/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:72f7b252-ff9a-461e-bf2d-c07cd669adf0/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
other,"Pepper, urine, ash mixture fermented",,Low,uuid:fb24a20d-12ba-46df-b329-f1164876fea8/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:fb24a20d-12ba-46df-b329-f1164876fea8/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Field_hygiene_,,,Medium,uuid:d0520b03-6669-47e5-bfad-8d6ca11b00ef/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:d0520b03-6669-47e5-bfad-8d6ca11b00ef/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Training_on_Pest_and_disease_ma,,,High,uuid:d0520b03-6669-47e5-bfad-8d6ca11b00ef/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:d0520b03-6669-47e5-bfad-8d6ca11b00ef/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
Chemicals,,,Medium,uuid:8238cb1a-dc5c-4eba-a66c-37fe7daf6375/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:8238cb1a-dc5c-4eba-a66c-37fe7daf6375/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:e226cb30-f92f-4c04-909e-98ad7a382f0a/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:e226cb30-f92f-4c04-909e-98ad7a382f0a/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Training_on_Pest_and_disease_ma,,,High,uuid:22c4b622-938e-42f3-8fe9-a214a8e0182e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:22c4b622-938e-42f3-8fe9-a214a8e0182e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Low,uuid:0418f7af-7471-4814-94df-b86dc57aaa57/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:0418f7af-7471-4814-94df-b86dc57aaa57/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Field_hygiene_,,,Low,uuid:0418f7af-7471-4814-94df-b86dc57aaa57/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:0418f7af-7471-4814-94df-b86dc57aaa57/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
Field_hygiene_,,,Medium,uuid:e1e9b848-4ed4-440b-8a64-98a747ee143f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:e1e9b848-4ed4-440b-8a64-98a747ee143f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Training_on_Pest_and_disease_ma,,,Medium,uuid:54592387-8f0a-4a59-8c9f-9e5839dd8404/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:54592387-8f0a-4a59-8c9f-9e5839dd8404/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:805cf1b9-4e28-4e62-8fae-6888c0ab8f2c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:805cf1b9-4e28-4e62-8fae-6888c0ab8f2c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Field_hygiene_,,,Medium,uuid:805cf1b9-4e28-4e62-8fae-6888c0ab8f2c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:805cf1b9-4e28-4e62-8fae-6888c0ab8f2c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
Training_on_Pest_and_disease_ma,,,Medium,uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
Field_hygiene_,,,Medium,uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[3]
Training_on_Pest_and_disease_ma,,,High,uuid:5beecaba-3f99-4397-9acf-e0a47debc7bd/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:5beecaba-3f99-4397-9acf-e0a47debc7bd/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
other,Organic fertilizers,,High,uuid:5beecaba-3f99-4397-9acf-e0a47debc7bd/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:5beecaba-3f99-4397-9acf-e0a47debc7bd/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
Chemicals,,,High,uuid:790a7e62-b2c7-4d49-9318-a8df9c3096e9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:790a7e62-b2c7-4d49-9318-a8df9c3096e9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
other,Ash and tifolia,,High,uuid:790a7e62-b2c7-4d49-9318-a8df9c3096e9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:790a7e62-b2c7-4d49-9318-a8df9c3096e9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
Chemicals,,,High,uuid:f9d1646e-db43-4495-8fc4-7c92357bdbfd/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:f9d1646e-db43-4495-8fc4-7c92357bdbfd/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:11c110f1-0254-4c04-9ab0-3280229e1356/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:11c110f1-0254-4c04-9ab0-3280229e1356/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
