strategies_used_to_control_tuta_Absoluta_Feb_March_2020,specify_the_pesticide_tuta_absoluta,other_strategies_used_to_control_Feb_March_2020,perception_on_the_effectiveness_of_strategy_in_controlling_Tuta_Absoluta_Feb_March_2020,PARENT_KEY,KEY
Chemicals,,,Medium,uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:b274dff4-d26b-4575-bc67-002c4ed769a7/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:b274dff4-d26b-4575-bc67-002c4ed769a7/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:0cafa010-dd3e-4b35-92d9-02cf799ad342/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:0cafa010-dd3e-4b35-92d9-02cf799ad342/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Low,uuid:eadc2067-16c3-4a6c-a3ee-5b82aab8063d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:eadc2067-16c3-4a6c-a3ee-5b82aab8063d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Field_hygiene_,,,Low,uuid:a09a56a3-2458-454b-b319-93a1748d397c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[5],uuid:a09a56a3-2458-454b-b319-93a1748d397c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[5]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Field_hygiene_,,,High,uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
other,,Natural herb spraying,Medium,uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Field_hygiene_,,,High,uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
other,,Picking the leaves and burn,High,uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,High,uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[3]
Chemicals,,,Low,uuid:64b66d1c-5eea-4132-8419-fe4ac895bd68/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:64b66d1c-5eea-4132-8419-fe4ac895bd68/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Field_hygiene_,,,Medium,uuid:64b66d1c-5eea-4132-8419-fe4ac895bd68/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:64b66d1c-5eea-4132-8419-fe4ac895bd68/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,Medium,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
other,,Mulching,Medium,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Field_hygiene_,,,Medium,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[3]
Chemicals,,,Medium,uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Field_hygiene_,,,Medium,uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,High,uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Field_hygiene_,,,Medium,uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,High,uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Field_hygiene_,,,Medium,uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,Medium,uuid:a773bc95-53fc-4f21-8bbc-e14eff96e268/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a773bc95-53fc-4f21-8bbc-e14eff96e268/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:c02a1732-25c3-409b-a2b8-fd92dd5cabaf/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:c02a1732-25c3-409b-a2b8-fd92dd5cabaf/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:46fc2f07-9bd0-4b75-956a-291b7615e896/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:46fc2f07-9bd0-4b75-956a-291b7615e896/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Low,uuid:1bfdb3e2-a6f2-4daf-95a6-1246c02b46c9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:1bfdb3e2-a6f2-4daf-95a6-1246c02b46c9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:53e2f3d8-9d93-47fc-a22f-ce61c0fa25ca/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:53e2f3d8-9d93-47fc-a22f-ce61c0fa25ca/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Field_hygiene_,,,Medium,uuid:53e2f3d8-9d93-47fc-a22f-ce61c0fa25ca/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:53e2f3d8-9d93-47fc-a22f-ce61c0fa25ca/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,Medium,uuid:983b9ac5-bbc8-43f4-b8e3-b638fb65b99c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:983b9ac5-bbc8-43f4-b8e3-b638fb65b99c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Field_hygiene_,,,Medium,uuid:983b9ac5-bbc8-43f4-b8e3-b638fb65b99c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:983b9ac5-bbc8-43f4-b8e3-b638fb65b99c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,Low,uuid:46c78423-8a2f-4fa0-8726-cf4bb3922974/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:46c78423-8a2f-4fa0-8726-cf4bb3922974/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:99695b6e-706e-46f2-8da7-61df87c7b7d3/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:99695b6e-706e-46f2-8da7-61df87c7b7d3/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:84c6c6fa-8c01-4304-b791-a52cc87ef860/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:84c6c6fa-8c01-4304-b791-a52cc87ef860/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
,,,,uuid:84c6c6fa-8c01-4304-b791-a52cc87ef860/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:84c6c6fa-8c01-4304-b791-a52cc87ef860/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,High,uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:70e9b71c-5419-4c1b-80af-5996633daaf1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:70e9b71c-5419-4c1b-80af-5996633daaf1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:5f7c94f8-ab1d-474f-8970-8054d1f507bc/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:5f7c94f8-ab1d-474f-8970-8054d1f507bc/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
other,,Cloud cover,High,uuid:837e9c33-931e-49a9-a9a0-f9fcfa69a0ce/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:837e9c33-931e-49a9-a9a0-f9fcfa69a0ce/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
,,,,uuid:837e9c33-931e-49a9-a9a0-f9fcfa69a0ce/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:837e9c33-931e-49a9-a9a0-f9fcfa69a0ce/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,Medium,uuid:6f5d5f3c-02f6-4401-8c83-fc146b370346/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:6f5d5f3c-02f6-4401-8c83-fc146b370346/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Low,uuid:fa12ec53-8967-46ae-a923-ea00a4d0ad4e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:fa12ec53-8967-46ae-a923-ea00a4d0ad4e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:c46fb1a7-8005-4bda-bd14-3c2c8627f3ab/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:c46fb1a7-8005-4bda-bd14-3c2c8627f3ab/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:1c9ae9ae-fc95-4bc7-9140-1ca04b1d2e27/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:1c9ae9ae-fc95-4bc7-9140-1ca04b1d2e27/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:a00dfb83-c3b4-4037-8458-945ea65878be/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a00dfb83-c3b4-4037-8458-945ea65878be/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Low,uuid:7457a72b-9522-46f5-9921-3320b7f78865/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:7457a72b-9522-46f5-9921-3320b7f78865/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:58225dc1-7aaf-4473-b2c6-9d6974a5d13f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:58225dc1-7aaf-4473-b2c6-9d6974a5d13f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:fe59bec3-195c-4326-b4d7-4b76831d6f2c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:fe59bec3-195c-4326-b4d7-4b76831d6f2c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:5ae5de58-3272-4966-950a-79d4527fd7d4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:5ae5de58-3272-4966-950a-79d4527fd7d4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:4a751ffc-435f-49d7-a944-96491220b319/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:4a751ffc-435f-49d7-a944-96491220b319/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:fc04161f-6c14-4561-991d-9f7e796089df/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:fc04161f-6c14-4561-991d-9f7e796089df/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:06d89973-abf7-47fe-9a69-29e068f2b15c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:06d89973-abf7-47fe-9a69-29e068f2b15c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:3d2c54bf-549b-4f70-87b2-c7cbc84c7297/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:3d2c54bf-549b-4f70-87b2-c7cbc84c7297/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:c557ee51-806f-4fb5-a7c9-fc11f34a1f2d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:c557ee51-806f-4fb5-a7c9-fc11f34a1f2d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:0b95fa58-f01b-42b5-a393-94dcd76e6de6/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:0b95fa58-f01b-42b5-a393-94dcd76e6de6/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:8874aac8-aee7-4b45-bec2-5ed795044149/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:8874aac8-aee7-4b45-bec2-5ed795044149/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:8f7c3c4e-c50e-45e3-b5e4-0e36369ab784/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:8f7c3c4e-c50e-45e3-b5e4-0e36369ab784/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:a0435873-bee0-4581-af28-5b743ac4b426/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a0435873-bee0-4581-af28-5b743ac4b426/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
other,,Mulching,Low,uuid:a0435873-bee0-4581-af28-5b743ac4b426/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a0435873-bee0-4581-af28-5b743ac4b426/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
other,,Mulching ,Medium,uuid:269f5244-0539-49d7-8bf5-cb24654149ae/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:269f5244-0539-49d7-8bf5-cb24654149ae/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Training_on_Pest_and_disease_ma,,,Low,uuid:67c52bae-54d7-48a0-9dd9-60834ed48252/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:67c52bae-54d7-48a0-9dd9-60834ed48252/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Field_hygiene_,,,Medium,uuid:090b90ee-6284-44d6-a991-e953ffca4e25/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:090b90ee-6284-44d6-a991-e953ffca4e25/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:ed16eab9-16f2-4df0-8052-54481ac657ed/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:ed16eab9-16f2-4df0-8052-54481ac657ed/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
other,,Mulching,High,uuid:b7e7019d-45f4-4c3f-8a96-4d4440905ba8/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:b7e7019d-45f4-4c3f-8a96-4d4440905ba8/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:b7e7019d-45f4-4c3f-8a96-4d4440905ba8/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:b7e7019d-45f4-4c3f-8a96-4d4440905ba8/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,High,uuid:a55b28c6-9bbc-41b1-b657-d05c3cd4cb78/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a55b28c6-9bbc-41b1-b657-d05c3cd4cb78/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
other,,Mulching,Medium,uuid:a55b28c6-9bbc-41b1-b657-d05c3cd4cb78/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a55b28c6-9bbc-41b1-b657-d05c3cd4cb78/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
other,,Sprayed with ash,High,uuid:a462c631-cc91-4c58-90c5-ff0d1b4d3aac/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a462c631-cc91-4c58-90c5-ff0d1b4d3aac/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:0338b47b-e685-4047-b210-cb2ff000db4c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:0338b47b-e685-4047-b210-cb2ff000db4c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
