strategies_used_to_control_tuta_Absoluta_Feb_March_2020,specify_the_pesticide_tuta_absoluta,other_strategies_used_to_control_Feb_March_2020,perception_on_the_effectiveness_of_strategy_in_controlling_Tuta_Absoluta_Feb_March_2020,PARENT_KEY,KEY
Chemicals,,,High,uuid:a94c4186-553f-42da-b7d5-a66cce3b0458/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a94c4186-553f-42da-b7d5-a66cce3b0458/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:a0015b82-7837-4c6f-86ba-df11c0e13cad/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[5],uuid:a0015b82-7837-4c6f-86ba-df11c0e13cad/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[5]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:c838e643-a3e0-4ef7-8487-33c1497a790f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:c838e643-a3e0-4ef7-8487-33c1497a790f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:c5042384-df41-497d-b113-6061d7c9dce1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:c5042384-df41-497d-b113-6061d7c9dce1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:7606408a-7fff-4fca-a9da-6a5f16856ea9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:7606408a-7fff-4fca-a9da-6a5f16856ea9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:192fe43f-7a13-4cc6-9f2e-a2a6971380b6/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:192fe43f-7a13-4cc6-9f2e-a2a6971380b6/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:8ad67238-b7d7-435b-a949-40cbc5402d79/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:8ad67238-b7d7-435b-a949-40cbc5402d79/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:ea229d4f-9ac3-4cf5-8b27-bcb72333a97c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:ea229d4f-9ac3-4cf5-8b27-bcb72333a97c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:01385028-0559-4e7c-8fe3-75a26ca60907/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[5],uuid:01385028-0559-4e7c-8fe3-75a26ca60907/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[5]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:01385028-0559-4e7c-8fe3-75a26ca60907/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[6],uuid:01385028-0559-4e7c-8fe3-75a26ca60907/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[6]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:871c04d8-aeb3-4e6a-b3e0-cfde6dae3a8a/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:871c04d8-aeb3-4e6a-b3e0-cfde6dae3a8a/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Low,uuid:1bf4e1f4-1c3b-47a4-9889-57aa54207e0e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:1bf4e1f4-1c3b-47a4-9889-57aa54207e0e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:9ea35354-172a-4dff-b467-c2c1821ba56c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:9ea35354-172a-4dff-b467-c2c1821ba56c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Training_on_Pest_and_disease_ma,,,Low,uuid:0ad8722b-76ec-4b04-bb8d-72f96b744be2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:0ad8722b-76ec-4b04-bb8d-72f96b744be2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Low,uuid:0ad8722b-76ec-4b04-bb8d-72f96b744be2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:0ad8722b-76ec-4b04-bb8d-72f96b744be2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,Medium,uuid:025731bf-12fb-4d84-ba4d-e2f7374f761d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:025731bf-12fb-4d84-ba4d-e2f7374f761d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:2e8ae5d7-7afa-48f1-a7e3-eb85797fe045/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:2e8ae5d7-7afa-48f1-a7e3-eb85797fe045/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:63282e91-cfb6-4913-9eaf-a904013b92da/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:63282e91-cfb6-4913-9eaf-a904013b92da/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
other,,None,Low,uuid:63282e91-cfb6-4913-9eaf-a904013b92da/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:63282e91-cfb6-4913-9eaf-a904013b92da/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,Medium,uuid:363b3b58-7fc0-4142-9cfd-fad5780c18e0/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:363b3b58-7fc0-4142-9cfd-fad5780c18e0/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:363b3b58-7fc0-4142-9cfd-fad5780c18e0/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:363b3b58-7fc0-4142-9cfd-fad5780c18e0/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:a107c48b-c32c-4ce4-8aec-59cf10b753ad/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a107c48b-c32c-4ce4-8aec-59cf10b753ad/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:464c42d2-ffd1-4e3e-89de-807673575262/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:464c42d2-ffd1-4e3e-89de-807673575262/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
other,,None,Low,uuid:465409d0-9be8-46a9-9f70-854b46254cec/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:465409d0-9be8-46a9-9f70-854b46254cec/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Low,uuid:8ea0b9ce-9774-4909-b25c-6b5f0a5810c0/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:8ea0b9ce-9774-4909-b25c-6b5f0a5810c0/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Low,uuid:b3b082a5-59da-41cd-aea0-822da0d108ac/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:b3b082a5-59da-41cd-aea0-822da0d108ac/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:c965210e-f0cf-476b-9b1e-a2398f44c2d6/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:c965210e-f0cf-476b-9b1e-a2398f44c2d6/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Field_hygiene_,,,Medium,uuid:c965210e-f0cf-476b-9b1e-a2398f44c2d6/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:c965210e-f0cf-476b-9b1e-a2398f44c2d6/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,High,uuid:587c5dd5-2a7f-4847-83ea-68a4bb301056/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:587c5dd5-2a7f-4847-83ea-68a4bb301056/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:e3cdd302-612e-43f1-b314-d16ae0203559/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:e3cdd302-612e-43f1-b314-d16ae0203559/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:54729e38-076c-452b-9e7d-12d509dcf84b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:54729e38-076c-452b-9e7d-12d509dcf84b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Low,uuid:3cc2a0e0-7d55-455d-b46d-c3d5be5a7e73/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:3cc2a0e0-7d55-455d-b46d-c3d5be5a7e73/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:423ef76e-4803-4832-af87-de38e6d97a0d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:423ef76e-4803-4832-af87-de38e6d97a0d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:423ef76e-4803-4832-af87-de38e6d97a0d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:423ef76e-4803-4832-af87-de38e6d97a0d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:3507a620-cdac-49db-b02a-badd0c7b399e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:3507a620-cdac-49db-b02a-badd0c7b399e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:f799df60-6764-4553-b417-994da0ce80a0/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:f799df60-6764-4553-b417-994da0ce80a0/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:3806c404-49ee-4ea5-af32-6838eed8c5ea/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:3806c404-49ee-4ea5-af32-6838eed8c5ea/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:8007fa11-90a1-40d9-ab12-ee7d9dd108cb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:8007fa11-90a1-40d9-ab12-ee7d9dd108cb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:a364b4b1-a577-4607-bdec-8e0eacced241/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a364b4b1-a577-4607-bdec-8e0eacced241/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:6a744ca6-83d9-4df7-91f9-77f28ec4a1b0/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:6a744ca6-83d9-4df7-91f9-77f28ec4a1b0/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:e8527c6e-c7cc-4e97-97b1-27b55e7f7a16/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:e8527c6e-c7cc-4e97-97b1-27b55e7f7a16/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:a2ae917f-d30a-49e3-9585-6412e77d8609/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:a2ae917f-d30a-49e3-9585-6412e77d8609/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Improved_seed,,,Medium,uuid:a2ae917f-d30a-49e3-9585-6412e77d8609/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:a2ae917f-d30a-49e3-9585-6412e77d8609/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Field_hygiene_,,,Medium,uuid:a2ae917f-d30a-49e3-9585-6412e77d8609/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:a2ae917f-d30a-49e3-9585-6412e77d8609/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[3]
other,,Thieves,Medium,uuid:a2ae917f-d30a-49e3-9585-6412e77d8609/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:a2ae917f-d30a-49e3-9585-6412e77d8609/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[4]
Chemicals,,,High,uuid:e3ac3722-0ecf-402c-a02f-774b1837d753/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:e3ac3722-0ecf-402c-a02f-774b1837d753/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Field_hygiene_,,,Medium,uuid:e3ac3722-0ecf-402c-a02f-774b1837d753/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:e3ac3722-0ecf-402c-a02f-774b1837d753/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Improved_seed,,,Medium,uuid:e3ac3722-0ecf-402c-a02f-774b1837d753/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:e3ac3722-0ecf-402c-a02f-774b1837d753/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[3]
Chemicals,,,High,uuid:64901c90-40ca-4005-afec-9d419590afe7/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:64901c90-40ca-4005-afec-9d419590afe7/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:142c0d75-4831-4a26-9d37-21ac828565c4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:142c0d75-4831-4a26-9d37-21ac828565c4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:41726afc-6d56-4cff-a79a-fc1586ae2342/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:41726afc-6d56-4cff-a79a-fc1586ae2342/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
other,,Handpicked the tuta absoluta,Low,uuid:41726afc-6d56-4cff-a79a-fc1586ae2342/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:41726afc-6d56-4cff-a79a-fc1586ae2342/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,Medium,uuid:a0057bf5-96e7-449a-8f49-a7c5d882f4e0/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:a0057bf5-96e7-449a-8f49-a7c5d882f4e0/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Training_on_Pest_and_disease_ma,,,High,uuid:a0057bf5-96e7-449a-8f49-a7c5d882f4e0/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:a0057bf5-96e7-449a-8f49-a7c5d882f4e0/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,High,uuid:5ca9fb80-aad8-4737-9cc7-e34c5fe336a7/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:5ca9fb80-aad8-4737-9cc7-e34c5fe336a7/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:5ca9fb80-aad8-4737-9cc7-e34c5fe336a7/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:5ca9fb80-aad8-4737-9cc7-e34c5fe336a7/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Training_on_Pest_and_disease_ma,,,Medium,uuid:f376dee1-79eb-4178-af15-fb8a0a7ebd33/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:f376dee1-79eb-4178-af15-fb8a0a7ebd33/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:f376dee1-79eb-4178-af15-fb8a0a7ebd33/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:f376dee1-79eb-4178-af15-fb8a0a7ebd33/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
other,,Fencing the field,Medium,uuid:f376dee1-79eb-4178-af15-fb8a0a7ebd33/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:f376dee1-79eb-4178-af15-fb8a0a7ebd33/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[3]
Chemicals,,,Medium,uuid:2f9a95c9-ab41-4177-ac88-693057a73a4b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:2f9a95c9-ab41-4177-ac88-693057a73a4b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:cb5db43d-0b1c-4a1a-a495-5b13836c53f4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:cb5db43d-0b1c-4a1a-a495-5b13836c53f4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:28b02719-2f65-4dd7-a437-fbc63fe972e6/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:28b02719-2f65-4dd7-a437-fbc63fe972e6/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:9ffc3094-6b94-4312-84ba-87d886d0b382/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:9ffc3094-6b94-4312-84ba-87d886d0b382/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:c22c613d-f39c-4f02-a6da-bdca53917c53/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:c22c613d-f39c-4f02-a6da-bdca53917c53/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:b15f97b5-10c7-4a8b-8566-793eb5973307/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:b15f97b5-10c7-4a8b-8566-793eb5973307/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:0c9cb42b-1256-4d13-b033-d1a66feeec8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:0c9cb42b-1256-4d13-b033-d1a66feeec8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:6283e625-98f2-45e6-a7e8-764b970aa1ec/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:6283e625-98f2-45e6-a7e8-764b970aa1ec/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Training_on_Pest_and_disease_ma,,,High,uuid:6283e625-98f2-45e6-a7e8-764b970aa1ec/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:6283e625-98f2-45e6-a7e8-764b970aa1ec/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,High,uuid:a4e45acb-0979-4c25-8827-98d123954071/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a4e45acb-0979-4c25-8827-98d123954071/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:6ffe94e2-0cba-466e-b903-4a85a84ef064/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:6ffe94e2-0cba-466e-b903-4a85a84ef064/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:472975f4-4795-4eea-a6b4-4e9781e3be1d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:472975f4-4795-4eea-a6b4-4e9781e3be1d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:2851c99b-41cd-4eb7-8d1c-fcf163eea943/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:2851c99b-41cd-4eb7-8d1c-fcf163eea943/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
