three_other_constraints_for_tomato_production_Feb_March_2020,other_constraints_for_tomato_production_Feb_March_2020,level_of_severity_tomato_production_Feb_March_2020,PARENT_KEY,KEY
Leaf_eaters_,,Medium,uuid:53e2f3d8-9d93-47fc-a22f-ce61c0fa25ca/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:53e2f3d8-9d93-47fc-a22f-ce61c0fa25ca/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
other,Market,High,uuid:53e2f3d8-9d93-47fc-a22f-ce61c0fa25ca/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:53e2f3d8-9d93-47fc-a22f-ce61c0fa25ca/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
Other_leaf_miners_Lirimyza_spec,,High,uuid:983b9ac5-bbc8-43f4-b8e3-b638fb65b99c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:983b9ac5-bbc8-43f4-b8e3-b638fb65b99c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/constraints_for_tomato_production_Feb_March_2020[1]
Too_much_rain,,Medium,uuid:983b9ac5-bbc8-43f4-b8e3-b638fb65b99c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:983b9ac5-bbc8-43f4-b8e3-b638fb65b99c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/constraints_for_tomato_production_Feb_March_2020[2]
Leaf_eaters_,,Medium,uuid:983b9ac5-bbc8-43f4-b8e3-b638fb65b99c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:983b9ac5-bbc8-43f4-b8e3-b638fb65b99c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/constraints_for_tomato_production_Feb_March_2020[3]
Drought,,High,uuid:46c78423-8a2f-4fa0-8726-cf4bb3922974/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:46c78423-8a2f-4fa0-8726-cf4bb3922974/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,High,uuid:84c6c6fa-8c01-4304-b791-a52cc87ef860/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:84c6c6fa-8c01-4304-b791-a52cc87ef860/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,High,uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[1]
Too_much_rain,,High,uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[2]
Other_leaf_miners_Lirimyza_spec,,High,uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Too_much_rain,,High,uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
,,,uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[3]
other,Nothing except No market for the tomatoes,High,uuid:ff1731b0-a0b3-47c6-a78f-202554b71171/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:ff1731b0-a0b3-47c6-a78f-202554b71171/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,High,uuid:70e9b71c-5419-4c1b-80af-5996633daaf1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:70e9b71c-5419-4c1b-80af-5996633daaf1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,High,uuid:030d8a49-f5f4-4bc4-9958-9e31027b467f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:030d8a49-f5f4-4bc4-9958-9e31027b467f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,Medium,uuid:0a89bfd8-f993-4e90-ad09-7f98553d504c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:0a89bfd8-f993-4e90-ad09-7f98553d504c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,Medium,uuid:5f7c94f8-ab1d-474f-8970-8054d1f507bc/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:5f7c94f8-ab1d-474f-8970-8054d1f507bc/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Drought,,High,uuid:38c6d19f-7251-44ba-956e-b2c8f26b6631/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:38c6d19f-7251-44ba-956e-b2c8f26b6631/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
other,Cloud cover,Medium,uuid:6f5d5f3c-02f6-4401-8c83-fc146b370346/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:6f5d5f3c-02f6-4401-8c83-fc146b370346/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,High,uuid:2ec6dfb6-70a6-4eb3-b236-a476fd0957a5/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:2ec6dfb6-70a6-4eb3-b236-a476fd0957a5/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
other,Cloud cover,High,uuid:2ec6dfb6-70a6-4eb3-b236-a476fd0957a5/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:2ec6dfb6-70a6-4eb3-b236-a476fd0957a5/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
Drought,,Medium,uuid:fa12ec53-8967-46ae-a923-ea00a4d0ad4e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:fa12ec53-8967-46ae-a923-ea00a4d0ad4e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,High,uuid:c46fb1a7-8005-4bda-bd14-3c2c8627f3ab/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:c46fb1a7-8005-4bda-bd14-3c2c8627f3ab/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Too_much_rain,,High,uuid:c46fb1a7-8005-4bda-bd14-3c2c8627f3ab/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:c46fb1a7-8005-4bda-bd14-3c2c8627f3ab/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
Plant_diseases_,,High,uuid:1c9ae9ae-fc95-4bc7-9140-1ca04b1d2e27/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:1c9ae9ae-fc95-4bc7-9140-1ca04b1d2e27/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,High,uuid:3ee3b645-31e7-4d89-a46e-e65a0684e7d0/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:3ee3b645-31e7-4d89-a46e-e65a0684e7d0/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,High,uuid:a00dfb83-c3b4-4037-8458-945ea65878be/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a00dfb83-c3b4-4037-8458-945ea65878be/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
,,,uuid:a00dfb83-c3b4-4037-8458-945ea65878be/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a00dfb83-c3b4-4037-8458-945ea65878be/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
Other_leaf_miners_Lirimyza_spec,,High,uuid:7457a72b-9522-46f5-9921-3320b7f78865/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:7457a72b-9522-46f5-9921-3320b7f78865/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,High,uuid:58225dc1-7aaf-4473-b2c6-9d6974a5d13f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:58225dc1-7aaf-4473-b2c6-9d6974a5d13f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[1]
other,Cloud cover,High,uuid:58225dc1-7aaf-4473-b2c6-9d6974a5d13f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:58225dc1-7aaf-4473-b2c6-9d6974a5d13f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[2]
Drought,,High,uuid:fe59bec3-195c-4326-b4d7-4b76831d6f2c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:fe59bec3-195c-4326-b4d7-4b76831d6f2c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,High,uuid:fe59bec3-195c-4326-b4d7-4b76831d6f2c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:fe59bec3-195c-4326-b4d7-4b76831d6f2c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[2]
,,,uuid:fe59bec3-195c-4326-b4d7-4b76831d6f2c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:fe59bec3-195c-4326-b4d7-4b76831d6f2c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[3]
Other_leaf_miners_Lirimyza_spec,,Medium,uuid:5ae5de58-3272-4966-950a-79d4527fd7d4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:5ae5de58-3272-4966-950a-79d4527fd7d4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,Medium,uuid:4a751ffc-435f-49d7-a944-96491220b319/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:4a751ffc-435f-49d7-a944-96491220b319/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,High,uuid:993ca46e-1e60-4c0d-aa3e-42095d6a8e61/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:993ca46e-1e60-4c0d-aa3e-42095d6a8e61/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Drought,,Medium,uuid:fc04161f-6c14-4561-991d-9f7e796089df/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:fc04161f-6c14-4561-991d-9f7e796089df/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[1]
other,Kiwotokwa ,High,uuid:fc04161f-6c14-4561-991d-9f7e796089df/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:fc04161f-6c14-4561-991d-9f7e796089df/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[2]
Drought,,High,uuid:06d89973-abf7-47fe-9a69-29e068f2b15c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:06d89973-abf7-47fe-9a69-29e068f2b15c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,Medium,uuid:06d89973-abf7-47fe-9a69-29e068f2b15c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:06d89973-abf7-47fe-9a69-29e068f2b15c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
Thrips_Western_flower_thrips_et,,Medium,uuid:06d89973-abf7-47fe-9a69-29e068f2b15c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:06d89973-abf7-47fe-9a69-29e068f2b15c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[3]
Other_leaf_miners_Lirimyza_spec,,High,uuid:af626575-606a-4575-9ce0-8a9ae2e0572c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:af626575-606a-4575-9ce0-8a9ae2e0572c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[1]
Drought,,Medium,uuid:af626575-606a-4575-9ce0-8a9ae2e0572c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:af626575-606a-4575-9ce0-8a9ae2e0572c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[2]
Plant_diseases_,,High,uuid:5b2febc5-a919-431f-8338-d0d2c2b3e5fa/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:5b2febc5-a919-431f-8338-d0d2c2b3e5fa/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Cut_worm,,High,uuid:5b2febc5-a919-431f-8338-d0d2c2b3e5fa/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:5b2febc5-a919-431f-8338-d0d2c2b3e5fa/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
Plant_diseases_,,High,uuid:f5d32b35-4090-434b-ba40-394e688fedaf/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:f5d32b35-4090-434b-ba40-394e688fedaf/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,High,uuid:3d2c54bf-549b-4f70-87b2-c7cbc84c7297/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:3d2c54bf-549b-4f70-87b2-c7cbc84c7297/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,High,uuid:c557ee51-806f-4fb5-a7c9-fc11f34a1f2d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:c557ee51-806f-4fb5-a7c9-fc11f34a1f2d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,High,uuid:0b95fa58-f01b-42b5-a393-94dcd76e6de6/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:0b95fa58-f01b-42b5-a393-94dcd76e6de6/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,Low,uuid:7e147c61-6742-4dee-90c5-c1bdd7d0414b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:7e147c61-6742-4dee-90c5-c1bdd7d0414b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,High,uuid:8f7c3c4e-c50e-45e3-b5e4-0e36369ab784/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:8f7c3c4e-c50e-45e3-b5e4-0e36369ab784/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,High,uuid:d2b31eaa-9886-447e-a4d0-9936245e7115/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:d2b31eaa-9886-447e-a4d0-9936245e7115/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Too_much_rain,,High,uuid:4dc1c499-0291-43b3-8c60-3343d4a3856d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:4dc1c499-0291-43b3-8c60-3343d4a3856d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,Medium,uuid:4dc1c499-0291-43b3-8c60-3343d4a3856d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:4dc1c499-0291-43b3-8c60-3343d4a3856d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[2]
other,Drying of leaves,Medium,uuid:4dc1c499-0291-43b3-8c60-3343d4a3856d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:4dc1c499-0291-43b3-8c60-3343d4a3856d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[3]
Shortage_of_rain,,High,uuid:c96ade61-adfe-4e2e-ac90-404988e70e56/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:c96ade61-adfe-4e2e-ac90-404988e70e56/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,High,uuid:724da5aa-aab0-43da-9502-f95ccb8c415a/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:724da5aa-aab0-43da-9502-f95ccb8c415a/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Leaf_eaters_,,Medium,uuid:724da5aa-aab0-43da-9502-f95ccb8c415a/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:724da5aa-aab0-43da-9502-f95ccb8c415a/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
Soil_fertility_exhaustion_,,Medium,uuid:724da5aa-aab0-43da-9502-f95ccb8c415a/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:724da5aa-aab0-43da-9502-f95ccb8c415a/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[3]
Other_leaf_miners_Lirimyza_spec,,High,uuid:a0435873-bee0-4581-af28-5b743ac4b426/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a0435873-bee0-4581-af28-5b743ac4b426/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Leaf_eaters_,,Low,uuid:a0435873-bee0-4581-af28-5b743ac4b426/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a0435873-bee0-4581-af28-5b743ac4b426/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
Plant_diseases_,,Medium,uuid:a0435873-bee0-4581-af28-5b743ac4b426/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a0435873-bee0-4581-af28-5b743ac4b426/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[3]
Other_leaf_miners_Lirimyza_spec,,High,uuid:269f5244-0539-49d7-8bf5-cb24654149ae/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:269f5244-0539-49d7-8bf5-cb24654149ae/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Soil_fertility_exhaustion_,,Low,uuid:269f5244-0539-49d7-8bf5-cb24654149ae/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:269f5244-0539-49d7-8bf5-cb24654149ae/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
other,Thieves,High,uuid:269f5244-0539-49d7-8bf5-cb24654149ae/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:269f5244-0539-49d7-8bf5-cb24654149ae/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[3]
other,Tomato wilt ,High,uuid:67c52bae-54d7-48a0-9dd9-60834ed48252/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:67c52bae-54d7-48a0-9dd9-60834ed48252/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[1]
other,Tomato wilt,High,uuid:f20a0cde-6921-4cfc-9190-a09b348e60d2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:f20a0cde-6921-4cfc-9190-a09b348e60d2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,High,uuid:090b90ee-6284-44d6-a991-e953ffca4e25/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:090b90ee-6284-44d6-a991-e953ffca4e25/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,High,uuid:99d4886c-008e-4a38-921e-08eaf8e9173e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:99d4886c-008e-4a38-921e-08eaf8e9173e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
